,Title,Brand,Model,Year,Price,Condition,Type,Engine_Size,Fuel_Type,Transmission,Mileage,Color,Additional
1108,ВАЗ (Lada) Priora 2170,ВАЗ,(Lada) Priora 2170,2014,3300000,Б/у,седан,1.6,бензин,КПП механика,174000,белый,"металлик, литые диски, тонировка, дневн..."
1113,Toyota Land Cruiser,Toyota,Land Cruiser,2007,15000000,Б/у,внедорожник,4.7,бензин,КПП автомат,325000,черный,"металлик, кожа, кондиционер"
1115,BYD Qin Plus,BYD,Qin Plus,2024,8150000,Б/у,седан,1.5,гибрид,КПП вариатор,10,белый,На Каз Номерах В Наличии Подходит в Яндекс д...
1116,Nissan Primera,Nissan,Primera,1995,1000000,Б/у,лифтбек,1.6,бензин,КПП механика,2345,зеленый,"люк, ксенон, противотуманки, омывател..."
1117,Kia Optima,Kia,Optima,2017,5500000,Б/у,седан,2.4,бензин,КПП автомат,888888,черный,"металлик, литые диски, тонировка, кожа,..."
1118,Kia Cee'd,Kia,Cee'd,2023,12000000,Б/у,универсал,1.6,бензин,КПП автомат,11000,белый,"металлик, литые диски, тонировка, спо..."
1119,Dodge Charger,Dodge,Charger,2012,23000000,Б/у,седан,6.4,бензин,КПП автомат,80000,черный,Машина в отличном техническом состоянии....
1121,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2006,11600000,Б/у,внедорожник,2.7,бензин,КПП автомат,260000,серебристый,"литые диски, тонировка, рейл..."
1122,Hyundai Accent,Hyundai,Accent,2020,7800000,Б/у,седан,1.6,бензин,КПП автомат,73000,металлик,"литые диски, тонировка, хрустальная оп..."
1123,Hyundai Accent,Hyundai,Accent,2012,4900000,Б/у,седан,1.6,бензин,КПП автомат,177800,тонировка,"ветровики, багажник, хрустальная опт..."
1126,ГАЗ ГАЗель,ГАЗ,ГАЗель,2007,4800000,Б/у,фургон,2.9,газ-бензин,КПП механика,200000,белый,Jagdaiy jaksi ramy kaptalgan
1127,Nissan X-Trail,Nissan,X-Trail,2007,5300000,Б/у,кроссовер,2.5,бензин,КПП вариатор,255000,черный,"литые диски, ксенон, противотуманк..."
1129,Toyota Hilux,Toyota,Hilux,2015,9000000,Б/у,пикап,2.5,дизель,КПП механика,250000,белый,"литые диски, тонировка, ветровики, бага..."
1130,Subaru Outback,Subaru,Outback,2006,5500000,Б/у,универсал,2.5,бензин,КПП автомат,306000,белый,"кожа, климат-контроль, В хорошем сос..."
1135,Li L9,Li,L9,2023,31500000,Б/у,кроссовер,1.5,бензин,КПП автомат,25000,черный,"металлик, люк, панорамная крыша, рей..."
1137,Toyota Sienna,Toyota,Sienna,2015,14200000,Б/у,минивэн,3.5,бензин,КПП автомат,78792,серебристый,"металлик, литые диски, тонировка,..."
1139,Volkswagen Jetta,Volkswagen,Jetta,2011,5800000,Б/у,седан,1.6,бензин,КПП автомат,149222,черный,"металлик, литые диски, тонировка, люк,..."
1141,Kia Seltos,Kia,Seltos,2024,9800000,Б/у,кроссовер,1.5,бензин,КПП вариатор,30,белый,"металлик, литые диски, кожа, климат-конт..."
1144,ВАЗ (Lada) 2107,ВАЗ,(Lada) 2107,2007,980000,Б/у,седан,1.6,бензин,КПП механика,150000,синий,"металлик, велюр"
1145,ГАЗ ГАЗель,ГАЗ,ГАЗель,2006,4300000,Б/у,пикап,2.4,бензин,КПП механика,150000,Двигатель 406,"инжектор. Ивеко диски, новая го..."
1147,Chevrolet Cobalt,Chevrolet,Cobalt,2014,3900000,Б/у,седан,1.5,бензин,КПП автомат,181000,черный,"металлик, велюр, кондиционер, Без торга..."
1150,Skoda Rapid,Skoda,Rapid,2014,4700000,Б/у,универсал,1.6,газ-бензин,КПП механика,206211,серый,"металлик, литые диски, тонировк..."
1151,BMW 525,BMW,525,1994,2200000,Б/у,седан,2.5,бензин,КПП автомат,300,черный,"тонировка, кондиционер, Машина на ходу, сел..."
1152,BMW 528,BMW,528,1998,3800000,Б/у,седан,2.8,бензин,КПП автомат,400000,серый,"тонировка, люк, панорамная крыша, спойле..."
1153,Chevrolet Onix,Chevrolet,Onix,2023,6900000,Б/у,седан,1.2,бензин,КПП автомат,36300,черный,"литые диски, тонировка, люк, хрустальная..."
1154,Mercedes-Benz S 550,Mercedes-Benz,S 550,2007,6500000,Б/у,седан,5.5,бензин,КПП автомат,250000,белый,"литые диски, люк, биксенон, обогрев зерк..."
1157,Hyundai Palisade,Hyundai,Palisade,2022,20500000,Б/у,кроссовер,3.8,бензин,КПП автомат,32000,белый,"металлик, литые диски, тонировка, люк..."
1159,УАЗ Pickup,УАЗ,Pickup,2013,3000000,Б/у,пикап,2.7,бензин,КПП механика,300000,зеленый,Машина на ходу. Машина использовалась...
1162,Lexus ES 350,Lexus,ES 350,2018,19000000,Б/у,седан,3.5,бензин,КПП автомат,92000,синий,"металлик, литые диски, тонировка, люк, ли..."
1164,Chevrolet Aveo,Chevrolet,Aveo,2013,2890000,Б/у,седан,1.6,бензин,КПП автомат,133444,Дилерский центр «Chery Astana»,по адресу Туран...
1165,Haval F7x,Haval,F7x,2021,8000000,Б/у,кроссовер,1.5,бензин,КПП автомат,99000,синий,"bluetooth, зимний режим, спортивный р..."
1168,Nissan Patrol,Nissan,Patrol,2013,13600000,Б/у,внедорожник,5.6,бензин,КПП автомат,200000,белый,"металлик, литые диски, тонировка,..."
1170,Lexus LX 570,Lexus,LX 570,2019,48500000,Б/у,внедорожник,5.7,бензин,КПП автомат,103000,черный,"металлик, тонировка, люк, спойлер..."
1173,Toyota Land Cruiser,Toyota,Land Cruiser,2020,42000000,Б/у,внедорожник,4.6,бензин,КПП автомат,120000,черный,"металлик, литые диски, тонировка,..."
1174,Kia Sorento,Kia,Sorento,2022,22000000,Б/у,кроссовер,2.5,бензин,КПП автомат,60000,белый,"металлик, литые диски, тонировка, баг..."
1180,Volkswagen Golf,Volkswagen,Golf,1991,1100000,Б/у,хэтчбек,1.8,бензин,КПП автомат,350000,серебристый,"металлик, литые диски, спойлер,..."
1182,Audi 100,Audi,100,1994,2450000,Б/у,седан,2.3,бензин,КПП механика,290000,серый,"металлик, литые диски, тонировка, люк,..."
1184,Hyundai Creta,Hyundai,Creta,2020,8000000,Б/у,кроссовер,1.6,бензин,КПП автомат,69000,серый,"металлик, литые диски, тонировка, люк..."
1185,Subaru Tribeca,Subaru,Tribeca,2008,7000000,Б/у,кроссовер,3.6,бензин,КПП автомат,128000,тонировка,"люк, ветровики, дневные ходовые..."
1186,Mercedes-Benz S 600,Mercedes-Benz,S 600,2006,8500000,Б/у,седан,5.5,бензин,КПП автомат,350000,черный,"металлик, ксенон, кожа, Обмен пекап с д..."
1187,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2014,2950000,Б/у,седан,1.6,бензин,КПП механика,148000,белый,"тонировка, багажник, дневные ходовые ог..."
1190,Mitsubishi Lancer,Mitsubishi,Lancer,2013,4500000,Б/у,седан,1.6,бензин,КПП автомат,350000,серебристый,"литые диски, тонировка, багажник,..."
1191,Lexus RX 270,Lexus,RX 270,2014,12800000,Б/у,кроссовер,2.7,бензин,КПП автомат,239500,бордовый,"металлик, литые диски, тонировка,..."
1192,Daewoo Nexia,Daewoo,Nexia,2008,1300000,Б/у,хэтчбек,1.5,бензин,КПП механика,111111,синий,"дневные ходовые огни, велюр, аудиосис..."
1194,ВАЗ (Lada) Kalina 1118,ВАЗ,(Lada) Kalina 1118,2007,1350000,Б/у,седан,1.6,бензин,КПП механика,240000,серый,ЭУР РАБОТАЕТ! НОВЫЙ АККУМ. МКПП ПОСЛЕ Р...
1197,Toyota Camry,Toyota,Camry,2006,5300000,Б/у,седан,2.4,бензин,КПП автомат,250000,серебристый,"металлик, литые диски, тонировка,..."
1198,Geely Coolray,Geely,Coolray,2024,9500000,Б/у,кроссовер,1.5,бензин,КПП робот,38,белый,"металлик, Отличный автомобиль! Новый без пр..."
1200,FAW 1024,FAW,1024,2024,6500000,Б/у,пикап,1.5,бензин,КПП механика,3000,белый,"металлик, дневные ходовые огни, противоту..."
1201,Toyota Camry,Toyota,Camry,2007,5900000,Б/у,седан,2.4,бензин,КПП автомат,250000,бронза,"металлик, литые диски, тонировка, багаж..."
1203,Toyota Hilux,Toyota,Hilux,1993,3800000,Б/у,пикап,2.4,бензин,КПП механика,365000,белый,"ветровики, багажник, фаркоп, линзованна..."
1205,Toyota Camry,Toyota,Camry,2007,6500000,Б/у,седан,2.4,бензин,КПП автомат,270000,белый,"литые диски, тонировка, линзованная опти..."
1207,Aston Martin DB9,Aston,Martin DB9,2005,17000000,Б/у,купе,5.9,бензин,КПП автомат,42000,голубой,"металлик, кожа, алькантара, Срочно! Цена..."
1209,Chevrolet Monza,Chevrolet,Monza,2023,7510000,Б/у,седан,1.5,бензин,КПП робот,1,серый,ББ автомаркет Монза 1.5 Новая Без пробега Сыпырг...
1210,Volkswagen Passat,Volkswagen,Passat,2008,3720000,Б/у,седан,1.8,бензин,КПП автомат,315000,черный,"металлик, литые диски, тонировка, линзо..."
1211,Daewoo Nexia,Daewoo,Nexia,2006,1500000,Б/у,седан,1.5,бензин,КПП механика,230000,бордовый,"металлик, тонировка, ветровики, хрус..."
1213,Kia Carnival,Kia,Carnival,2017,10500000,Б/у,минивэн,2.2,дизель,КПП автомат,170000,белый,"литые диски, тонировка, люк, панорамна..."
1215,Honda Odyssey,Honda,Odyssey,2015,5200000,Б/у,минивэн,3.5,бензин,КПП автомат,321600,черный,"металлик, тонировка, ксенон, биксенон..."
1217,Hyundai Santa Fe,Hyundai,Santa Fe,2023,19000000,Б/у,кроссовер,2.5,бензин,КПП автомат,54000,белый,"металлик, литые диски, тонировка, хру..."
1223,Toyota Highlander,Toyota,Highlander,2021,22200000,Б/у,кроссовер,3.5,бензин,КПП автомат,27700,серый,"кожа, климат-контроль, ББ автомаркет..."
1226,Hyundai Santa Fe,Hyundai,Santa Fe,2019,13590000,Б/у,кроссовер,2.4,бензин,КПП автомат,105000,черный,"металлик, биксенон, линзованная опт..."
1227,Toyota Land Cruiser,Toyota,Land Cruiser,2017,31500000,Б/у,внедорожник,4.6,бензин,КПП автомат,119373,белый,"металлик, литые диски, тонировка,..."
1229,Chrysler PT Cruiser,Chrysler,PT Cruiser,2007,2600000,Б/у,кабриолет,2.4,бензин,КПП автомат,100000,Лимузин,на ходу требует немного вложение
1237,Mitsubishi Pajero,Mitsubishi,Pajero,2020,19900000,Б/у,внедорожник,3.8,бензин,КПП автомат,11530,белый,"металлик, литые диски, тонировка, с..."
1238,Infiniti FX35,Infiniti,FX35,2006,6497329,Б/у,кроссовер,3.5,бензин,КПП автомат,183312,черный,"металлик, литые диски, тонировка, л..."
1240,Volkswagen Polo,Volkswagen,Polo,2008,600000,Б/у,седан,1.4,бензин,КПП механика,400000,белый,Не на ходу. Требуется вложения. Смотрит...
1241,Infiniti QX80,Infiniti,QX80,2017,18999999,Б/у,внедорожник,5.6,бензин,КПП автомат,93000,серый,"металлик, литые диски, тонировка, л..."
1244,УАЗ Patriot,УАЗ,Patriot,2020,9200000,Б/у,внедорожник,2.7,газ-бензин,КПП механика,98000,белый,Продам УАЗ патриот комплектаци...
1245,Kia Cerato,Kia,Cerato,2011,5200000,Б/у,седан,1.6,бензин,КПП автомат,56500,серебристый,"литые диски, ветровики, фаркоп, лин..."
1246,Toyota Camry,Toyota,Camry,2014,7500000,Б/у,седан,2.5,бензин,КПП автомат,280000,белый,"велюр, климат-контроль, Пригнана с ОАЭ,..."
1247,ГАЗ ГАЗель,ГАЗ,ГАЗель,2017,7500000,Б/у,фургон,2.9,газ-бензин,КПП механика,175000,белый,"спойлер, ветровики, противотуманки..."
1249,Toyota Camry,Toyota,Camry,2010,5000000,Б/у,седан,2.5,бензин,КПП автомат,155000,серый,"металлик, литые диски, тонировка, люк, п..."
1250,Volkswagen Passat,Volkswagen,Passat,1998,750000,Б/у,седан,1.8,бензин,КПП автомат,111111,зеленый,"Не на ходу, кагазы болмаган жок моторы..."
1253,Kia K7,Kia,K7,2017,12000000,Б/у,седан,2.4,бензин,КПП автомат,160000,черный,"металлик, литые диски, тонировка, ветро..."
1254,Ravon Nexia R3,Ravon,Nexia R3,2020,4750000,Б/у,седан,1.5,бензин,КПП механика,116000,белый,"металлик, литые диски, тонировка, спойл..."
1256,Hyundai Sonata,Hyundai,Sonata,2022,16500000,Б/у,седан,2.5,бензин,КПП автомат,47000,серебристый,"металлик, литые диски, тонировка, с..."
1257,Kia Sorento,Kia,Sorento,2010,8500000,Б/у,кроссовер,3.5,бензин,КПП автомат,181000,бордовый,"металлик, литые диски, тонировка,..."
1260,ВАЗ (Lada) Vesta SW Cross,ВАЗ,(Lada) Vesta SW Cross,2021,8000000,Б/у,универсал,1.6,бензин,КПП вариатор,74000,черный,"металлик, литые диски, тонировка, в..."
1262,Nissan Almera Tino,Nissan,Almera Tino,2001,3500000,Б/у,минивэн,1.8,бензин,КПП механика,400000,серебристый,"металлик, литые диски, тонировк..."
1263,Hyundai Elantra,Hyundai,Elantra,2015,4500000,Б/у,седан,1.8,бензин,КПП автомат,204000,серебристый,"кожа, климат-контроль, Машина жагд..."
1264,Toyota Camry,Toyota,Camry,2013,9800000,Б/у,седан,2.5,бензин,КПП автомат,186644,белый,"металлик, литые диски, тонировка, хруста..."
1265,BMW X5,BMW,X5,2004,7000000,Б/у,кроссовер,4.4,бензин,КПП автомат,399000,серебристый,"металлик, литые диски, тониров..."
1272,Hyundai Avante,Hyundai,Avante,2019,7000000,Б/у,седан,1.6,бензин,КПП автомат,130000,серый,"металлик, литые диски, тонировка, ксенон..."
1273,Toyota Camry,Toyota,Camry,2010,5400000,Б/у,седан,2.5,бензин,КПП автомат,220000,белый,"металлик, велюр, кондиционер, Газ бензин..."
1276,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2022,26500000,Б/у,внедорожник,2.7,бензин,КПП автомат,77000,черный,"металлик, тонировка, ветровики, ре..."
1277,Audi A6,Audi,A6,1997,2480000,Б/у,седан,2.8,бензин,КПП автомат,343000,синий,"металлик, литые диски, тонировка, обвес,..."
1278,Nissan Patrol,Nissan,Patrol,1998,6000000,Б/у,внедорожник,2.8,дизель,КПП механика,244000,бордовый,кондиционер
1285,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2017,18500000,Б/у,внедорожник,2.7,бензин,КПП автомат,270000,белый,"металлик, литые диски, тонировка,..."
1286,Toyota Tundra,Toyota,Tundra,2012,47000000,Б/у,пикап,5.7,бензин,КПП автомат,130000,черный,"Авто тюнинг DEVOLRO в оригинале, не под..."
1287,Hyundai Elantra,Hyundai,Elantra,2014,6200000,Б/у,седан,1.6,бензин,КПП автомат,230000,белый,"багажник, ксенон, корректор фар, велюр,..."
1288,ВАЗ (Lada) Lada 2131 (5-ти дверный),ВАЗ,(Lada) Lada 2131 (5-ти дверный),2001,1200000,Б/у,внедорожник,1.7,бензин,КПП механика,158328,белый,"Продам ниву 2131 на ходу, теплая,..."
1289,Hyundai Accent,Hyundai,Accent,2021,7880000,Б/у,седан,1.6,бензин,КПП автомат,108124,белый,"тонировка, дневные ходовые огни, велюр,..."
1290,Jaguar XK,Jaguar,XK,2007,12500000,Б/у,купе,4.2,бензин,КПП автомат,69500,черный,Отличное техническое и эстетическое состо...
1292,Toyota Camry,Toyota,Camry,2011,7500000,Б/у,седан,2.5,бензин,КПП автомат,258555,белый,"металлик, литые диски, биксенон, велюр,..."
1293,ВАЗ (Lada) Lada 2131 (5-ти дверный),ВАЗ,(Lada) Lada 2131 (5-ти дверный),2018,3400000,Б/у,внедорожник,1.7,бензин,КПП механика,79800,белый,"металлик, литые диски, тонировка,..."
1296,Mercedes-Benz ML 320,Mercedes-Benz,ML 320,2001,4000000,Б/у,внедорожник,3.2,бензин,КПП автомат,250000,белый,"металлик, Срочно! Комплектация жир..."
1297,Toyota Corolla,Toyota,Corolla,2020,9100000,Б/у,седан,1.6,бензин,КПП вариатор,77534,белый,"литые диски, тонировка, дневные ходовые..."
1298,Kia Cerato,Kia,Cerato,2013,5210000,Б/у,седан,1.6,бензин,КПП автомат,154575,серый,"тонировка, ветровики, дневные ходовые ог..."
1299,Chevrolet Cobalt,Chevrolet,Cobalt,2022,5130000,Б/у,седан,1.5,бензин,КПП автомат,89653,черный,"тонировка, дневные ходовые огни, велюр,..."
1303,Hyundai Creta,Hyundai,Creta,2021,10800000,Б/у,кроссовер,1.6,бензин,КПП автомат,70000,серый,"металлик, велюр, кожа, комбинированны..."
1305,Chevrolet Cobalt,Chevrolet,Cobalt,2020,5500000,Б/у,седан,1.5,бензин,КПП автомат,77000,велюр,"кондиционер, 100% заводской окрас. Состоя..."
1307,Nissan Teana,Nissan,Teana,2014,7130000,Б/у,седан,2.5,бензин,КПП вариатор,313114,белый,"литые диски, тонировка, ветровики, днев..."
1308,Toyota Camry,Toyota,Camry,2018,13040000,Б/у,седан,2.5,бензин,КПП автомат,165366,белый,"литые диски, тонировка, дневные ходовые..."
1310,Chevrolet Cobalt,Chevrolet,Cobalt,2021,4950000,Б/у,седан,1.5,бензин,КПП механика,87505,серый,"тонировка, ветровики, дневные ходовые ог..."
1311,Mazda 3,Mazda,3,2014,6100000,Б/у,седан,1.6,бензин,КПП автомат,150000,бордовый,"металлик, Автомобиль в шикарном состо..."
1312,Renault Sandero Stepway,Renault,Sandero Stepway,2016,4810000,Б/у,хэтчбек,1.6,бензин,КПП автомат,176752,жёлтый,"тонировка, ветровики, дневные ходовые..."
1313,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2012,3500000,Б/у,седан,1.6,бензин,КПП автомат,117000,белый,Продаётся машина в хорошем состоянии. Ав...
1314,Toyota Carina E,Toyota,Carina E,1993,1300000,Б/у,лифтбек,1.6,бензин,КПП механика,190432,зеленый,"металлик, ГУР, центрозамок, налог у..."
1315,Toyota Camry,Toyota,Camry,2018,12600000,Б/у,седан,2.5,бензин,КПП автомат,64784,белый,"литые диски, тонировка, дневные ходовые о..."
1318,Hyundai Accent,Hyundai,Accent,2014,4770000,Б/у,седан,1.6,бензин,КПП автомат,198031,серый,"тонировка, дневные ходовые огни, противо..."
1319,Chevrolet Cobalt,Chevrolet,Cobalt,2020,4690000,Б/у,седан,1.5,бензин,КПП механика,127109,белый,"тонировка, ветровики, дневные ходовые о..."
1322,Toyota Camry,Toyota,Camry,2014,12000000,Б/у,седан,3.5,бензин,КПП автомат,116000,белый,"литые диски, тонировка, ксенон, биксенон..."
1324,Toyota Camry,Toyota,Camry,2020,13000000,Б/у,седан,2.5,бензин,КПП автомат,116808,серебристый,"металлик, литые диски, тонировка,..."
1325,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2019,4200000,Б/у,седан,1.6,бензин,КПП автомат,170000,белый,"тонировка, биксенон, велюр, аудиосистема..."
1327,Hyundai Palisade,Hyundai,Palisade,2022,20000000,Б/у,кроссовер,2.2,дизель,КПП автомат,15000,черный,"металлик, литые диски, тонировка, ау..."
1328,Hyundai Accent,Hyundai,Accent,2015,6000000,Б/у,седан,1.6,бензин,КПП автомат,176000,велюр,"ГУР, ABS, зимний режим, полный электропа..."
1329,Opel Vectra,Opel,Vectra,1995,1700000,Б/у,седан,1.6,бензин,КПП механика,399999,зеленый,"металлик, противотуманки, корректор ф..."
1330,Toyota Camry,Toyota,Camry,2010,7700000,Б/у,седан,2.5,бензин,КПП автомат,168000,белый,"металлик, литые диски, тонировка, люк, о..."
1335,Ford Mondeo,Ford,Mondeo,1997,1100000,Б/у,седан,1.8,бензин,КПП механика,340,черный,"тонировка, люк, хрустальная оптика, велюр,..."
1336,Ravon R4,Ravon,R4,2023,6100000,Б/у,седан,1.5,бензин,КПП автомат,10600,белый,Машина жагдайы жаксы мынесын кетесын хадо...
1337,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2007,11300000,Б/у,внедорожник,2.7,бензин,КПП автомат,292000,черный,"спойлер, фаркоп, противотуманки,..."
1338,Hyundai Palisade,Hyundai,Palisade,2023,28700000,Б/у,кроссовер,3.5,бензин,КПП автомат,13000,зеленый,"металлик, Срочно продаю! Машина в и..."
1340,Changan Oshan Z6,Changan,Oshan Z6,2023,14000000,Б/у,кроссовер,1.5,бензин,КПП автомат,8000,белый,"металлик, литые диски, тонировка, люк,..."
1341,Chevrolet Cruze,Chevrolet,Cruze,2012,3500000,Б/у,седан,1.8,бензин,КПП автомат,190562,белый,"металлик, литые диски, тонировка, обвес,..."
1342,Infiniti QX50,Infiniti,QX50,2014,9700000,Б/у,кроссовер,2.5,бензин,КПП автомат,79600,белый,"металлик, литые диски, тонировка, люк..."
1343,Toyota Camry,Toyota,Camry,2023,17500000,Б/у,седан,2.5,бензин,КПП автомат,15000,черный,"тонировка, ксенон, биксенон, хрустальная..."
1344,ВАЗ (Lada) Lada 2121,ВАЗ,(Lada) Lada 2121,2021,5530000,Б/у,внедорожник,1.7,бензин,КПП механика,8350,белый,"литые диски, ветровики, дневные ход..."
1346,Toyota Camry,Toyota,Camry,2014,10200000,Б/у,седан,2.5,бензин,КПП автомат,229000,велюр,"климат-контроль, Продам тоета Камри в ид..."
1347,Renault Arkana,Renault,Arkana,2021,8100000,Б/у,кроссовер,1.6,бензин,КПП вариатор,120000,серебристый,"металлик, литые диски, тониро..."
1348,Mitsubishi Pajero iO,Mitsubishi,Pajero iO,1998,4000000,Б/у,внедорожник,1.8,бензин,КПП автомат,260000,серебристый,"литые диски, тонировка, ксен..."
1349,Mercedes-Benz S 500,Mercedes-Benz,S 500,2009,14000000,Б/у,седан,5.5,бензин,КПП автомат,125000,синий,"металлик, литые диски, тонировка, люк, п..."
1350,Audi 100,Audi,100,1991,1500000,Б/у,седан,2.3,бензин,КПП механика,11111,серый,"металлик, литые диски, тонировка, багажн..."
1351,ВАЗ (Lada) Priora 2170,ВАЗ,(Lada) Priora 2170,2013,2150000,Б/у,седан,1.6,бензин,КПП механика,212000,белый,"литые диски, тонировка, спойлер, обвес,..."
1354,ВАЗ (Lada) 2114,ВАЗ,(Lada) 2114,2011,1550000,Б/у,хэтчбек,1.6,бензин,КПП механика,215000,серебристый,"металлик, велюр, Вложения не тр..."
1355,Daewoo Nexia,Daewoo,Nexia,2014,2800000,Б/у,седан,1.6,бензин,КПП механика,193000,серебристый,"ксенон, велюр, аудиосистема, CD,..."
1356,Subaru Ascent,Subaru,Ascent,2022,17000000,Б/у,кроссовер,2.4,бензин,КПП вариатор,48000,Свежепригнан,"11.22 года выпуска, 8 ми мест..."
1357,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2019,3100000,Б/у,седан,1.6,бензин,КПП механика,121000,белый,"литые диски, спойлер, фаркоп, bluetooth..."
1359,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2020,4000000,Б/у,седан,1.6,бензин,КПП механика,85000,серый,"металлик, литые диски, тонировка, ветров..."
1360,Volkswagen Polo,Volkswagen,Polo,2014,4800000,Б/у,седан,1.6,бензин,КПП автомат,179500,серебристый,"литые диски, тонировка, дневные хо..."
1362,Mercedes-Benz G 63 AMG,Mercedes-Benz,G 63 AMG,2013,45000000,Б/у,внедорожник,5.5,бензин,КПП автомат,115000,черный,"металлик, литые диски, тонировка,..."
1363,Cadillac Escalade,Cadillac,Escalade,2007,9900000,Б/у,внедорожник,6.2,бензин,КПП автомат,205000,бежевый,"литые диски, тонировка, люк, пан..."
1365,Lexus GX 470,Lexus,GX 470,2003,10000000,Б/у,внедорожник,4.7,бензин,КПП автомат,200000,серебристый,"металлик, литые диски, тонир..."
1366,Kia Carnival,Kia,Carnival,2021,19000000,Б/у,минивэн,3.5,бензин,КПП автомат,53000,белый,"металлик, кожа, климат-контроль, подогр..."
1368,Opel Vectra,Opel,Vectra,1993,1000000,Б/у,седан,1.8,бензин,КПП механика,286523,бордовый,"металлик, литые диски, тонировка, хр..."
1370,Hyundai Tucson,Hyundai,Tucson,2023,17500000,Б/у,кроссовер,2.5,бензин,КПП автомат,12500,серебристый,"металлик, литые диски, тонировк..."
1371,Hyundai Santa Fe,Hyundai,Santa Fe,2023,18700000,Б/у,кроссовер,2.5,бензин,КПП автомат,21000,серебристый,"металлик, литые диски, тонировк..."
1372,ВАЗ (Lada) Priora 2172,ВАЗ,(Lada) Priora 2172,2013,2350000,Б/у,хэтчбек,1.6,бензин,КПП механика,90160,белый,"металлик, багажник, обогрев зеркал, ау..."
1374,Mercedes-Benz E 320,Mercedes-Benz,E 320,2001,5800000,Б/у,седан,3.2,бензин,КПП автомат,259000,белый,"металлик, литые диски, кожа, климат-конт..."
1376,Toyota Sienna,Toyota,Sienna,2004,7500000,Б/у,минивэн,3.3,бензин,КПП автомат,350000,коричневый,"металлик, литые диски, тонировка,..."
1379,Renault Logan Stepway,Renault,Logan Stepway,2021,6200000,Б/у,седан,1.6,газ-бензин,КПП механика,140000,серебристый,"металлик, тонировка, ветровик..."
1380,Chevrolet Cruze,Chevrolet,Cruze,2013,5000000,Б/у,хэтчбек,1.6,бензин,КПП механика,250000,белый,"литые диски, тонировка, дневные ходов..."
1381,Toyota Land Cruiser,Toyota,Land Cruiser,2014,23499000,Б/у,внедорожник,4.6,бензин,КПП автомат,230000,Весь в родном окрасе,дилерский. Резина з...
1382,Cadillac Escalade,Cadillac,Escalade,2019,37500000,Б/у,внедорожник,6.2,бензин,КПП автомат,17000,черный,"металлик, литые диски, тонировка,..."
1385,Chevrolet Cobalt,Chevrolet,Cobalt,2023,6600000,Б/у,седан,1.5,бензин,КПП автомат,33000,синий,"велюр, кондиционер, Полный родной 100%, б..."
1386,Kia Cee'd,Kia,Cee'd,2023,10500000,Б/у,универсал,1.6,бензин,КПП автомат,40000,белый,"велюр, ГУР, ABS, SRS, спортивный режи..."
1387,Changan CS55 Plus,Changan,CS55 Plus,2024,9799999,Б/у,кроссовер,1.5,бензин,КПП робот,7,серый,"металлик, Самая полная комплектация, без про..."
1393,BMW 320,BMW,320,2003,3500000,Б/у,универсал,2.2,бензин,КПП автомат,320000,бордовый,"металлик, литые диски, тонировка,..."
1395,ВАЗ (Lada) 2114,ВАЗ,(Lada) 2114,2013,1700000,Б/у,хэтчбек,1.5,бензин,КПП механика,200000,черный,"металлик, литые диски, тонировка, ба..."
1396,Mercedes-Benz A 190,Mercedes-Benz,A 190,2000,2350000,Б/у,хэтчбек,1.9,бензин,КПП автомат,153720,синий,"металлик, велюр, CD, CD-чейнджер, MP3,..."
1399,Hyundai Palisade,Hyundai,Palisade,2019,19000000,Б/у,кроссовер,3.8,бензин,КПП автомат,74000,металлик,"литые диски, тонировка, люк, панор..."
1403,Toyota Sequoia,Toyota,Sequoia,2008,15000000,Б/у,внедорожник,5.7,бензин,КПП автомат,285000,белый,"литые диски, тонировка, люк, спойл..."
1404,Honda CR-V,Honda,CR-V,2007,6000000,Б/у,кроссовер,2.4,бензин,КПП автомат,222800,бежевый,"металлик, литые диски, тонировка,..."
1410,Lexus LX 570,Lexus,LX 570,2013,28000000,Б/у,внедорожник,5.7,бензин,КПП автомат,150000,белый,"металлик, литые диски, тонировка,..."
1412,Hyundai Elantra,Hyundai,Elantra,2018,7500000,Б/у,седан,1.6,бензин,КПП автомат,145379,белый,"литые диски, тонировка, хрустальная опти..."
1413,BMW 325,BMW,325,1999,3450000,Б/у,седан,2.5,бензин,КПП механика,777777,серый,"металлик, литые диски, хрустальная опти..."
1416,Volkswagen Sharan,Volkswagen,Sharan,2007,4300000,Б/у,минивэн,1.8,бензин,КПП механика,300000,синий,"металлик, литые диски, тонировка, вел..."
1418,Opel Zafira,Opel,Zafira,2009,4800000,Б/у,минивэн,1.8,бензин,КПП автомат,249525,черный,"тонировка, кожа, аудиосистема, MP3, D..."
